candidate_id,identity_key,name_en_candidate,vendor_body_tags,body_part_candidates_ko,equipment_candidates,recording_type_candidates,source_count,male_count,female_count,duplicate_review_group_id,duplicate_review_key,default_male_media_id_candidate,default_female_media_id_candidate,media_pairing_status,name_ko,primary_muscles_ko,secondary_muscles_ko,movement_pattern,posture_context,catalog_status,qa_status
gvc_a686492d5448,seated over head straight arm stretch,Seated Over Head Straight Arm Stretch,Chest,가슴,,duration,1,0,1,gvr_a686492d5448,seated over head straight arm stretch,,gv_f_24297486c2,female_only,,,,,,review,auto_candidate
gvc_b14101141c3c,seated overhead reach press,Seated Overhead Reach Press,Back,등,,,2,1,1,gvr_b14101141c3c,seated overhead reach press,gv_m_c21b879fd1,gv_f_356dff181f,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_ad0608b15e71,seated overhead side and 45 degrees bend forward,Seated Overhead Side And 45 Degrees Bend Forward (,,,,,1,0,1,gvr_ad0608b15e71,seated overhead side and 45 degrees bend forward,,gv_f_ac5885527e,female_only,,,,,,review,auto_candidate
gvc_1560e6d22047,seated overhead stretch on a chair,Seated Overhead Stretch On A Chair,Stretching,,,,1,1,0,gvr_1560e6d22047,seated overhead stretch on a chair,gv_m_ddb909c0b1,,male_only,,,,,,review,auto_candidate
gvc_9ddab108c266,seated overhead triceps extension,Seated Overhead Triceps Extension,Upper-Arms,팔,,,1,0,1,gvr_9ddab108c266,seated overhead triceps extension,,gv_f_38cbe66b84,female_only,,,,,,review,auto_candidate
gvc_05bf614d7ee3,seated overhead triceps extension on a chair,Seated Overhead Triceps Extension On A Chair (,,,,,1,1,0,gvr_05bf614d7ee3,seated overhead triceps extension on a chair,gv_m_c0d581c1b4,,male_only,,,,,,review,auto_candidate
gvc_2f6f9fb15948,seated pec dec on a chair,Seated Pec Dec On A Chair,Chest,가슴,,,1,1,0,gvr_2f6f9fb15948,seated pec dec on a chair,gv_m_3999f2417f,,male_only,,,,,,review,auto_candidate
gvc_c4faa9ab8de5,seated pigeon stretch,Seated Pigeon Stretch,Hips,하체,,duration,1,0,1,gvr_c4faa9ab8de5,seated pigeon stretch,,gv_f_885ae6cee0,female_only,,,,,,review,auto_candidate
gvc_a9b5f67b8893,seated piriformis stretch,Seated Piriformis Stretch,Hips,하체,,duration,1,1,0,gvr_a9b5f67b8893,seated piriformis stretch,gv_m_d63724db04,,male_only,,,,,,review,auto_candidate
gvc_8d2f15a5d56f,seated piriformis stretch on a chair,Seated Piriformis Stretch On A Chair,Stretching,,,,1,1,0,gvr_8d2f15a5d56f,seated piriformis stretch on a chair,gv_m_67a8d8a2ba,,male_only,,,,,,review,auto_candidate
gvc_3c8bca524d0a,seated pull up,Seated Pull Up,Back,등,,,1,1,0,gvr_3c8bca524d0a,seated pull up,gv_m_8521026c48,,male_only,,,,,,review,auto_candidate
gvc_a198012ff69a,seated pull up legs elevated,Seated Pull Up (legs Elevated),Back,등,,,1,1,0,gvr_a198012ff69a,seated pull up legs elevated,gv_m_17f847fbb6,,male_only,,,,,,review,auto_candidate
gvc_de938f2cd216,seated pulse back squeeze,Seated Pulse Back Squeeze,Back,등,,,1,0,1,gvr_de938f2cd216,seated pulse back squeeze,,gv_f_a0dc29e05a,female_only,,,,,,review,auto_candidate
gvc_49a495fd643f,seated quadriceps stretch,Seated Quadriceps Stretch,Stretching,,,,1,1,0,gvr_49a495fd643f,seated quadriceps stretch,gv_m_655f03b73c,,male_only,,,,,,review,auto_candidate
gvc_82416395e318,seated raised arms inhale,Seated Raised Arms Inhale,Stretching,,,,1,0,1,gvr_82416395e318,seated raised arms inhale,,gv_f_1b9ae27972,female_only,,,,,,review,auto_candidate
gvc_1845c8faae4b,seated rhomboid stretch,Seated Rhomboid Stretch,Back,등,,duration,1,1,0,gvr_1845c8faae4b,seated rhomboid stretch,gv_m_05d064a095,,male_only,,,,,,review,auto_candidate
gvc_c1b8e08b7b69,seated rotating boxing rolls on a chair,Seated Rotating Boxing Rolls On A Chair,Plyometrics,,,,1,1,0,gvr_c1b8e08b7b69,seated rotating boxing rolls on a chair,gv_m_00c9f993bc,,male_only,,,,,,review,auto_candidate
gvc_dd2d0815ecc1,seated rotation stretch,Seated Rotation Stretch,Stretching,,,,1,0,1,gvr_dd2d0815ecc1,seated rotation stretch,,gv_f_ab69d52925,female_only,,,,,,review,auto_candidate
gvc_201b16f65b2d,seated row with towel,Seated Row With Towel,Back,등,,,1,1,0,gvr_201b16f65b2d,seated row with towel,gv_m_b7940c59c8,,male_only,,,,,,review,auto_candidate
gvc_e59918e492cb,seated scapular rotation,Seated Scapular Rotation,Back,등,,,1,0,1,gvr_e59918e492cb,seated scapular rotation,,gv_f_f8515dd16a,female_only,,,,,,review,auto_candidate
gvc_246cc8b80bf9,seated shoulder 90 degrees internal rotation,Seated Shoulder 90 Degrees Internal Rotation,Back,등,,,1,1,0,gvr_246cc8b80bf9,seated shoulder 90 degrees internal rotation,gv_m_e9e9c6128d,,male_only,,,,,,review,auto_candidate
gvc_c22edafb47c0,seated shoulder anti clockwise circle,Seated Shoulder Anti Clockwise Circle,Back,등,,,1,0,1,gvr_c22edafb47c0,seated shoulder anti clockwise circle,,gv_f_08b4b5d5a2,female_only,,,,,,review,auto_candidate
gvc_c3124dda9d60,seated shoulder circle,Seated Shoulder Circle,Back,등,,,2,1,1,gvr_c3124dda9d60,seated shoulder circle,gv_m_d57b8c3c2d,gv_f_05bad52be5,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_e6ec729f4a75,seated shoulder flexor depresor retractor stretch,Seated Shoulder Flexor Depresor Retractor Stretch,,,,duration,1,1,0,gvr_e6ec729f4a75,seated shoulder flexor depresor retractor stretch,gv_m_8f3b146237,,male_only,,,,,,review,auto_candidate
gvc_8f873096d1ae,seated shoulder flexor depresor retractor stretch bent knee,Seated Shoulder Flexor Depresor Retractor Stretch Bent Knee,Shoulders,어깨,,duration,2,1,1,gvr_8f873096d1ae,seated shoulder flexor depresor retractor stretch bent knee,gv_m_f919573f2c,gv_f_8c377c5be2,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_82e318d85b5a,seated shoulder press on a chair,Seated Shoulder Press On A Chair,Shoulders,어깨,,,1,1,0,gvr_82e318d85b5a,seated shoulder press on a chair,gv_m_e5b22f0e33,,male_only,,,,,,review,auto_candidate
gvc_ac2d8eb91620,seated shoulder rotation,Seated Shoulder Rotation,Stretching,,,,1,0,1,gvr_ac2d8eb91620,seated shoulder rotation,,gv_f_032f59a020,female_only,,,,,,review,auto_candidate
gvc_bee8230ebd2c,seated shoulder shrug,Seated Shoulder Shrug,Stretching,,,,1,0,1,gvr_bee8230ebd2c,seated shoulder shrug,,gv_f_53487faa8f,female_only,,,,,,review,auto_candidate
gvc_f9410dca52de,seated shoulder stretch,Seated Shoulder Stretch,Stretching,,,,1,0,1,gvr_f9410dca52de,seated shoulder stretch,,gv_f_7cda3fd233,female_only,,,,,,review,auto_candidate
gvc_b371f87054df,seated shoulder tap on a chair,Seated Shoulder Tap On A Chair,Upper-Arms,팔,,,1,1,0,gvr_b371f87054df,seated shoulder tap on a chair,gv_m_c9c39151ea,,male_only,,,,,,review,auto_candidate
gvc_0425d4837ad7,seated shoulder waves,Seated Shoulder Waves,Shoulders,어깨,,,2,1,1,gvr_0425d4837ad7,seated shoulder waves,gv_m_f75bc5956c,gv_f_b62c8fc92e,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_71509c196346,seated shoulders tap,Seated Shoulders Tap,Upper-Arms,팔,,,1,0,1,gvr_71509c196346,seated shoulders tap,,gv_f_818ec75827,female_only,,,,,,review,auto_candidate
gvc_4939e63ed791,seated side bend on a chair,Seated Side Bend On A Chair,Waist,코어,,,1,1,0,gvr_4939e63ed791,seated side bend on a chair,gv_m_a5b48c52df,,male_only,,,,,,review,auto_candidate
gvc_04397fae298d,seated side bend shoulder stretch stretch,Seated Side Bend Shoulder Stretch Stretch,,,,duration,1,0,1,gvr_04397fae298d,seated side bend shoulder stretch stretch,,gv_f_ea30300fe5,female_only,,,,,,review,auto_candidate
gvc_f1b4c87a64c3,seated side bend with a towel on a padded stool m,Seated Side Bend With A Towel On A Padded Stool (m,,,,,1,1,0,gvr_f1b4c87a64c3,seated side bend with a towel on a padded stool m,gv_m_3a717d8ac6,,male_only,,,,,,review,auto_candidate
