merge_key,candidate_count,candidate_ids,candidate_names,male_source_count,female_source_count,total_source_count,equipment,body_parts_ko,merge_reasons,qa_result
seated neck side stretch,2,gvc_af29e42005c6;canon_gvr_b4eaa77ce527,Seated Neck Side Stretch | sitting side neck stretch,1,2,3,,,word_order_only,MERGE_IDENTITY
seated overhead stretch on a chair,2,gvc_1560e6d22047;gvc_a1556637f57d,Seated Overhead Stretch On A Chair | Sitting Overhead Stretch On A Chair,1,1,2,,,normalized_exact,MERGE_IDENTITY
seated shoulder press on a chair,2,gvc_82e318d85b5a;gvc_c6670344760f,Seated Shoulder Press On A Chair | Sitting Shoulder Press On A Chair,1,1,2,,어깨,normalized_exact,MERGE_IDENTITY
seated step out knee tuck on a padded stool,2,gvc_e510d6b21d09;gvc_e54178911a31,Sitting Stepout Knee Tuck On A Padded Stool | Sitting Stepout Knee Tuck On A Padded Stool (femal,1,1,2,,,normalized_exact,MERGE_IDENTITY
side plank rotation a padded stool supported,2,gvc_d903d14bd718;gvc_37a17a494b37,Side Plank Rotation A Padded Stool Supported | Side Plank Rotation A Padded Stool Supported (fema,1,1,2,,코어,normalized_exact,MERGE_IDENTITY
side squat walk,2,gvc_572d0ccca1f9;gvc_e33607e96ce5,Side Squat Walk | Side Walk Squat,1,1,2,,하체,word_order_only,MERGE_IDENTITY
side step arm cross over,2,gvc_a469a99514ce;gvc_85f494a263a3,Side Step Arm Crossover | Side Step Crossover Arms,1,1,2,,,word_order_only,MERGE_IDENTITY
single arm scapular push up to rotation,2,gvc_24a892ab4c0d;gvc_b4d37cfb48bf,Single Arm Scapular Push Up To Rotation | Single Arm Scapular Push Up To Rotation S,1,1,2,,,truncated_suffix,MERGE_IDENTITY
single leg sliding floor bridge curl on towel,2,gvc_e63ce3c13a59;gvc_c935fa50b518,Single Leg Sliding Floor Bridge Curl On Towel | Single Leg Sliding Floor Bridge Curl On Towel (fem,1,1,2,,하체,normalized_exact,MERGE_IDENTITY
single leg squat with support,2,gvc_0b8eefd928aa;gvc_060d0e857a61,Single Leg Squat With Support | Single Leg Squat With Support (pistol),1,1,2,,하체,parenthetical_synonym_pistol,MERGE_IDENTITY
sled 45 narrow stance leg press,2,gvc_7f95ed389f0d;gvc_b40476f6227f,Sled 45 Degrees Narrow Stance Leg Press | Sled 45 Narrow Stance Leg Press,1,1,2,Sled,하체,normalized_exact,MERGE_IDENTITY
split squat,2,gvc_606dea97d7df;gvc_b9d48e03d006,Split Squat | Split Squats,1,2,3,,하체,normalized_exact,MERGE_IDENTITY
squat star jack,2,gvc_f95c4b9be867;gvc_3ab2ef8c7d93,Squat Star Jack | Star Squat Jack,1,1,2,,,word_order_only,MERGE_IDENTITY
standing march with shoulder extension,2,gvc_269e04b7680d;gvc_298faebdbcf5,Standing March With Shoulders Extension | Standing March With Shoulders Extension P,1,1,2,,,truncated_suffix,MERGE_IDENTITY
standing shoulder medial and lateral rotation,2,gvc_9718c7284b67;gvc_c27c79286400,Standing Shoulder Medial And Lateral Rotation (fem | Standing Shoulder Medial And Lateral Rotation (mal,1,1,2,,,normalized_exact,MERGE_IDENTITY
suspender jump squat,2,gvc_1caa3b644e47;gvc_9f4982f3b589,Suspender Jump Squat | Suspender Squat Jump,1,1,2,,하체,word_order_only,MERGE_IDENTITY
twisting crunch arm straight,2,gvc_10fc6374fd13;gvc_2ecddefe7311,Twisting Crunch (arms Straight) | Twisting Crunch (straight Arms),1,1,2,,코어,word_order_only,MERGE_IDENTITY
wrist ulnar deviator and flexor stretch,2,gvc_50d21400c7b3;gvc_6a0d0a9c02dc,Wrist Ulnar Deviator And Flexor Stretch | Wrist Ulnar Deviator And Flexor Stretch F,1,1,2,,팔,normalized_exact,MERGE_IDENTITY
